Description,Gross Mass Measure Unit Code,Net Weight Measure,Item Charge Amount,Non Preferential Country Code,Preferential Country Code,Valuation Adjustment Code,Taric Additional Code,National Additional Code,Commodity Code,Freight Payment Code,CMR,Consignee Short Name,Consignor Short Name,Sequence Numeric,Statistical Value Amount,Transaction Nature Code,Description,Gross Mass Measure,Gross Mass Measure Unit Code,Net Weight Measure,Tariff Quantity,Tariff Quantity Unit Code,Item Charge Amount,Customs Valuation Method Code,Non Preferential Country Code,Preferential Country Code,Valuation Adjustment Code,Taric Additional Code,National Additional Code,Cus Code,Invoice Number,Commodity Code,Preference,Section,VVA under-calculation,VVA over-calculation,VatValue,VATRate,Customs Value,DTF.Duty.Amount,DTF.Duty.Type,DTF.Duty.Rate,DTF.Duty.Base,DTF.Duty.Relieved,DTF.VAT.Amount,DTF.VAT.Type,DTF.VAT.Rate,DTF.VAT.Base
GARMENTS,,0.109,2.9,TR,,0,,,6109100010,,,FASHION COMP WHOLESA,FASHION COMP A/S,1,5.33,,GARMENTS,0.129,,0.109,1,,2.9,1,TR,,0,,,4000,106198291,6109100010,100,XI,0.00,345.86,,,2.9,0.00,,,,0.00,0.58,,,
GARMENTS,,0.17,2.9,TR,,0,,,6109100090,,,FASHION COMP WHOLESA,FASHION COMP A/S,2,5.33,,GARMENTS,0.223,,0.17,1,,2.9,1,TR,,0,,,4000,106198291,6109100090,100,XI,0.00,270.13,,,2.9,0.00,,,,0.00,0.58,,,
GARMENTS,,1.289,24.95,TR,,0,,,6109902000,,,FASHION COMP WHOLESA,FASHION COMP A/S,3,45.89,,GARMENTS,1.504,,1.289,9,,24.95,1,TR,,0,,,4000,106198291,6109902000,100,XI,0.00,419.44,,,24.95,0.00,,,,0.00,4.99,,,
GARMENTS,,0.361,5.8,TR,,0,,,6110309900,,,FASHION COMP WHOLESA,FASHION COMP A/S,4,10.67,,GARMENTS,0.401,,0.361,2,,5.8,1,TR,,0,,,4000,106198291,6110309900,100,XI,0.00,421.84,,,5.8,0.00,,,,0.00,1.16,,,
GARMENTS,,0.404,8.7,TR,,0,,,6114300000,,,FASHION COMP WHOLESA,FASHION COMP A/S,5,16,,GARMENTS,0.49,,0.404,3,,8.7,1,TR,,0,,,4000,106198291,6114300000,100,XI,0.00,345.90,,,8.7,0.00,,,,0.00,1.74,,,
GARMENTS,,0.838,17.4,TR,,0,,,6201301099,,,FASHION COMP WHOLESA,FASHION COMP A/S,6,32,,GARMENTS,0.858,,0.838,1,,17.4,1,TR,,0,,,4000,106198293,6201301099,100,XI,0.00,516.36,,,17.4,0.00,,,,0.00,3.48,,,
GARMENTS,,0.76,23.2,TR,,0,,,6203339000,,,FASHION COMP WHOLESA,FASHION COMP A/S,7,42.67,,GARMENTS,0.8,,0.76,2,,23.2,1,TR,,0,,,4000,106198293,6203339000,100,XI,115.64,0.00,,,23.2,0.00,,,,0.00,4.64,,,
GARMENTS,,2.639,28,TR,,0,,,6203423100,,,FASHION COMP WHOLESA,FASHION COMP A/S,8,51.49,,GARMENTS,2.719,,2.639,4,,28,1,TR,,0,,,4000,106198293,6203423100,100,XI,0.00,230.37,,,28,0.00,,,,0.00,5.6,,,
GARMENTS,,0.777,23.2,TR,,0,,,6203431900,,,FASHION COMP WHOLESA,FASHION COMP A/S,9,42.67,,GARMENTS,0.886,,0.777,2,,23.2,1,TR,,0,,,4000,106198293,6203431900,100,XI,200.16,0.00,,,23.2,0.00,,,,0.00,4.64,,,
GARMENTS,,0.073,1.75,TR,,0,,,6208920000,,,FASHION COMP WHOLESA,FASHION COMP A/S,10,3.22,,GARMENTS,0.098,,0.073,1,,1.75,1,TR,,0,,,4000,106198291,6208920000,100,XI,0.00,477.46,,,1.75,0.00,,,,0.00,0.35,,,
GARMENTS,,0.32,11.6,TR,,0,,,6211339000,,,FASHION COMP WHOLESA,FASHION COMP A/S,11,21.33,,GARMENTS,0.34,,0.32,1,,11.6,1,TR,,0,,,4000,106198293,6211339000,100,XI,0.00,530.17,,,11.6,0.00,,,,0.00,2.32,,,
GARMENTS,,3.9,52.2,VN,,0,,,6201409019,,,FASHION COMP WHOLESA,FASHION COMP A/S,12,96,,GARMENTS,3.96,,3.9,3,,52.2,1,VN,,0,,,4000,106198293,6201409019,100,XI,0.00,510.61,,,52.2,0.00,,,,0.00,10.44,,,
GARMENTS,,1093.68,18322.08,BD,BD,0,,,6103420000,,,FASHION COMP WHOLESA,FASHION COMP A/S,1,18457.87,,GARMENTS,1234.8,,1093.68,3528,,18322.08,1,BD,BD,0,,,5100,106193944,6103420000,200,XI,177.81,0.00,,,18322.08,732.88,Duty,0.04,,0,3664.416,,,
GARMENTS,,740.88,9161.04,BD,BD,0,,,6109100010,,,FASHION COMP WHOLESA,FASHION COMP A/S,2,9228.94,,GARMENTS,811.44,,740.88,3528,,9161.04,1,BD,BD,0,,,5100,106193944,6109100010,200,XI,136.82,0.00,,,9161.04,458.05,Duty,0.05,,0,1832.208,,,
GARMENTS,,1596,29913.6,BD,BD,0,,,6203429000,,,FASHION COMP WHOLESA,FASHION COMP A/S,3,30135.3,,GARMENTS,1824,,1596,4560,,29913.6,1,BD,BD,0,,,5100,106193944,6203429000,200,XI,111.66,0.00,,,29913.6,598.27,Duty,0.02,,0,5982.72,,,
GARMENTS,,855.21,11771.1,PK,PK,0,,,6403999690,,,FASHION COMP WHOLESA,FASHION COMP A/S,4,11858.34,,GARMENTS,936.99,,855.21,870,,11771.1,1,PK,PK,0,,,5100,106193944,6403999690,200,XII,202.93,0.00,,,11771.1,706.27,Duty,0.06,,0,2354.22,,,
GARMENTS,,0.612,19.07,TR,TR,0,,,6107110000,,,FASHION COMP WHOLESA,FASHION COMP A/S,1,20.72,,GARMENTS,0.682,,0.612,1,,19.07,1,TR,TR,0,,,5100,106193768,6107110000,300,XI,0.00,216.04,,,19.07,0.57,Duty,0.03,,0,3.814,,,
GARMENTS,,0.276,8.2,TR,,0,,,6109100010,,,FASHION COMP WHOLESA,FASHION COMP A/S,2,8.91,,GARMENTS,0.342,,0.276,2,,8.2,1,TR,,0,,,5100,106193774,6109100010,100,XI,0.00,282.69,,,8.2,0.00,,,,0,1.64,,,
GARMENTS,,2.998,93.48,TR,TR,0,,,6109100010,,,FASHION COMP WHOLESA,FASHION COMP A/S,3,101.57,,GARMENTS,3.471,,2.998,23,,93.48,1,TR,TR,0,,,5100,106193774,6109100010,300,XI,176.52,0.00,,,93.48,2.80,Duty,0.03,,0,18.696,,,
GARMENTS,,1.605,73.8,TR,TR,0,,,6109100090,,,FASHION COMP WHOLESA,FASHION COMP A/S,4,80.19,,GARMENTS,2.1,,1.605,15,,73.8,1,TR,TR,0,,,4000,106198164,6109100090,300,XI,228.12,0.00,,,73.8,1.48,Duty,0.02,,1.48,14.76,,,
GARMENTS,,2.583,103.32,TR,,0,,,6109902000,,,FASHION COMP WHOLESA,FASHION COMP A/S,5,112.26,,GARMENTS,3.465,,2.583,21,,103.32,1,TR,,0,,,4000,106193774,6109902000,100,XI,190.87,0.00,,,103.32,0.00,,,,0.00,20.664,,,
GARMENTS,,33.672,1212.04,TR,TR,0,,,6109902000,,,FASHION COMP WHOLESA,FASHION COMP A/S,6,1316.95,,GARMENTS,41.961,,33.672,262,,1212.04,1,TR,TR,0,,,4000,106198168,6109902000,300,XI,0.00,208.00,,,1212.04,48.48,Duty,0.04,,48.48,242.408,,,
GARMENTS,,0.2,6.44,TR,,0,,,6114200000,,,FASHION COMP WHOLESA,FASHION COMP A/S,7,7,,GARMENTS,0.263,,0.2,1,,6.44,1,TR,,0,,,4000,106193772,6114200000,100,XI,0.00,255.31,,,6.44,0.00,,,,0.00,1.288,,,
GARMENTS,,3.8,122.3,TR,TR,0,,,6114200000,,,FASHION COMP WHOLESA,FASHION COMP A/S,8,132.89,,GARMENTS,4.997,,3.8,19,,122.3,1,TR,TR,0,,,4000,106193772,6114200000,300,XI,144.32,0.00,,,122.3,3.67,Duty,0.03,,3.67,24.46,,,
GARMENTS,,2.55,98.52,TR,TR,0,,,6114300000,,,FASHION COMP WHOLESA,FASHION COMP A/S,9,107.05,,GARMENTS,3.345,,2.55,15,,98.52,1,TR,TR,0,,,4000,106198169,6114300000,300,XI,0.00,273.24,,,98.52,3.94,Duty,0.04,,3.94,19.704,,,
GARMENTS,,0.767,13.66,TR,TR,0,,,6203423100,,,FASHION COMP WHOLESA,FASHION COMP A/S,10,14.84,,GARMENTS,0.847,,0.767,1,,13.66,1,TR,TR,0,,,4000,106193768,6203423100,300,XI,0.00,446.94,,,13.66,0.55,Duty,0.04,,0.55,2.732,,,
